,,,,,,,,,,,,,,,,,,,,,,,,
Physical Distance,Lime Distance,Hood Angle,Spinner RPM,Cal,Diff,RPM difference,actual RPM,% diff,,Simulation stuff,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,
12,115,,,,,,,,,,,,,,,,,,,,,,,
18,2.921,2.92,25.8548,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,Theta holds at 62,Theory,,,,,,,,,,
36,,,,,,,,,,X,Theta,Velocity (ft/s),Velocity (ft/s) - no theta,Angle,RPM,Robot Angle,Pos,RPM F,Pos F,distance to hub real,,,,
42,383,0,22.5,22.4728,0.0272,1.632,1348.368,0.12%,2696.736,74.5,64,20.6,21.2,62,1391.36,28,0,1365.06,0,1.2827,1365.1645,22.75274167,-4.413460265,-0.3249764572
48,,0,23,22.8832,0.1168,7.008,1372.992,0.51%,2745.984,80.5,64,20.6,21.4,62,1404.32,28,0,1385.64,0,1.4351,1385.7385,23.09564167,-2.723262579,-0.2005220783
54,,,23,23.2936,0.2936,17.616,1397.616,1.26%,2795.232,86.5,64,20.6,21.4,62,1404.32,28,0,1406.22,0,1.5875,1406.3125,23.43854167,-1.12039375,-0.08249798789
60,,,24,23.704,0.296,17.76,1422.24,1.25%,2844.48,92.5,62,21.5,21.4,62,1404.32,28,0,1426.8,0,1.7399,1426.8865,23.78144167,0.3951462212,0.02909581401
66,,,24,24.1144,0.1144,6.864,1446.864,0.47%,2893.728,98.5,60,22,21.8,60,1443.2,30,2,1447.38,1.90124,1.8923,1447.4605,24.12434167,1.823357335,0.1342593274
72,,,24,24.5248,0.5248,31.488,1471.488,2.14%,2942.976,104.5,58,22.5,22.2,58,1475.6,32,4,1467.96,3.25136,2.0447,1468.0345,24.46724167,3.164239591,0.2329925523
78,,,24,24.9352,0.9352,56.112,1496.112,3.75%,2992.224,110.5,57.5,22.5,22.6,57.5,1475.6,32.5,4.5,1488.54,4.51436,2.1971,1488.6085,24.81014167,4.417792989,0.3252954888
84,,,25,25.3456,0.3456,20.736,1520.736,1.36%,3041.472,116.5,57,23,23,57,1508,33,5,1509.12,5.69024,2.3495,1509.1825,25.15304167,5.58401753,0.4111681367
